date,home,away,home_score,away_score
2025-06-26,Indiana Fever,Los Angeles Sparks,75,85
2025-06-27,Las Vegas Aces,Washington Mystics,83,94
2025-06-27,Atlanta Dream,Minnesota Lynx,92,96
2025-06-27,Dallas Wings,Indiana Fever,86,94
2025-06-28,Golden State Valkyries,Chicago Sky,83,78
2025-06-28,Phoenix Mercury,New York Liberty,106,91
2025-06-28,Seattle Storm,Connecticut Sun,97,81
2025-06-29,Dallas Wings,Washington Mystics,79,71
2025-06-29,Atlanta Dream,New York Liberty,90,81
2025-06-29,Los Angeles Sparks,Chicago Sky,85,92
2025-06-29,Phoenix Mercury,Las Vegas Aces,81,84
2025-06-29,Minnesota Lynx,Connecticut Sun,102,63
2025-06-30,Golden State Valkyries,Seattle Storm,84,57
2025-07-02,Minnesota Lynx,Indiana Fever,59,74
2025-07-03,Indiana Fever,Las Vegas Aces,81,54
2025-07-03,New York Liberty,Los Angeles Sparks,89,79
2025-07-03,Atlanta Dream,Seattle Storm,79,80
2025-07-04,Dallas Wings,Phoenix Mercury,98,89
2025-07-04,Minnesota Lynx,Washington Mystics,92,75
2025-07-05,Indiana Fever,Los Angeles Sparks,87,89
2025-07-06,Minnesota Lynx,Golden State Valkyries,82,71
2025-07-06,New York Liberty,Seattle Storm,70,79
2025-07-06,Connecticut Sun,Las Vegas Aces,68,86
2025-07-06,Minnesota Lynx,Chicago Sky,80,75
2025-07-07,Atlanta Dream,Golden State Valkyries,90,81
2025-07-08,Phoenix Mercury,Dallas Wings,102,72
2025-07-08,Washington Mystics,Chicago Sky,81,79
2025-07-09,New York Liberty,Las Vegas Aces,87,78
2025-07-09,Connecticut Sun,Seattle Storm,93,83
2025-07-09,Indiana Fever,Golden State Valkyries,61,80
2025-07-09,Phoenix Mercury,Minnesota Lynx,79,71
2025-07-10,Chicago Sky,Dallas Wings,87,76
2025-07-10,Los Angeles Sparks,Minnesota Lynx,82,91
2025-07-10,Washington Mystics,Las Vegas Aces,70,68
2025-07-11,Indiana Fever,Atlanta Dream,99,82
2025-07-12,Seattle Storm,Connecticut Sun,79,65
2025-07-12,Chicago Sky,Minnesota Lynx,87,81
2025-07-12,Las Vegas Aces,Golden State Valkyries,104,102
2025-07-13,Indiana Fever,Dallas Wings,102,83
2025-07-13,New York Liberty,Atlanta Dream,79,72
2025-07-13,Los Angeles Sparks,Connecticut Sun,92,88
2025-07-13,Seattle Storm,Washington Mystics,69,74
2025-07-15,Chicago Sky,Minnesota Lynx,78,91
2025-07-15,Golden State Valkyries,Phoenix Mercury,77,78
2025-07-16,Connecticut Sun,Indiana Fever,77,85
2025-07-16,Los Angeles Sparks,Washington Mystics,99,80
2025-07-16,Chicago Sky,Atlanta Dream,49,86
2025-07-16,Minnesota Lynx,Phoenix Mercury,79,66
2025-07-16,Seattle Storm,Golden State Valkyries,67,58
2025-07-16,New York Liberty,Indiana Fever,98,77
2025-07-17,Dallas Wings,Las Vegas Aces,86,90
2025-07-20,TEAM CLARK,TEAM COLLIER,131,151
2025-07-22,Washington Mystics,Los Angeles Sparks,86,93
2025-07-23,New York Liberty,Indiana Fever,98,84
2025-07-23,Minnesota Lynx,Chicago Sky,91,68
2025-07-23,Las Vegas Aces,Atlanta Dream,87,72
2025-07-23,Seattle Storm,Dallas Wings,63,87
2025-07-24,Phoenix Mercury,Atlanta Dream,79,90
2025-07-24,Connecticut Sun,Los Angeles Sparks,86,101
2025-07-24,Indiana Fever,Las Vegas Aces,80,70
2025-07-25,Chicago Sky,Seattle Storm,57,95
2025-07-25,New York Liberty,Phoenix Mercury,89,76
2025-07-25,Minnesota Lynx,Las Vegas Aces,109,78
2025-07-26,Golden State Valkyries,Dallas Wings,86,76
2025-07-26,New York Liberty,Los Angeles Sparks,99,101
2025-07-26,Washington Mystics,Seattle Storm,69,58
2025-07-27,Connecticut Sun,Golden State Valkyries,95,64
2025-07-27,Chicago Sky,Indiana Fever,78,93
2025-07-27,Dallas Wings,Las Vegas Aces,80,106
2025-07-27,Washington Mystics,Phoenix Mercury,72,88
2025-07-27,Minnesota Lynx,Atlanta Dream,86,90
2025-07-28,Connecticut Sun,Seattle Storm,85,101
2025-07-29,Dallas Wings,New York Liberty,92,82
2025-07-29,Atlanta Dream,Golden State Valkyries,75,77
2025-07-29,Washington Mystics,Chicago Sky,103,86
2025-07-30,Los Angeles Sparks,Las Vegas Aces,74,89
2025-07-30,Indiana Fever,Phoenix Mercury,107,101
2025-07-31,Dallas Wings,Atlanta Dream,85,88
2025-07-31,Minnesota Lynx,New York Liberty,100,93
2025-07-31,Washington Mystics,Golden State Valkyries,67,68
2025-08-01,Atlanta Dream,Phoenix Mercury,95,72
2025-08-01,Connecticut Sun,New York Liberty,78,62
2025-08-01,Chicago Sky,Golden State Valkyries,66,73
2025-08-01,Dallas Wings,Indiana Fever,78,88
2025-08-02,Seattle Storm,Los Angeles Sparks,106,108
2025-08-02,Las Vegas Aces,Minnesota Lynx,58,111
2025-08-03,Connecticut Sun,New York Liberty,78,87
2025-08-03,Atlanta Dream,Washington Mystics,99,83
2025-08-03,Seattle Storm,Indiana Fever,74,78
2025-08-03,Chicago Sky,Phoenix Mercury,67,83
2025-08-03,Las Vegas Aces,Golden State Valkyries,101,77
2025-08-05,New York Liberty,Dallas Wings,85,76
2025-08-06,Chicago Sky,Washington Mystics,78,64
2025-08-06,Los Angeles Sparks,Indiana Fever,100,91
2025-08-06,Phoenix Mercury,Connecticut Sun,82,66
2025-08-06,Seattle Storm,Minnesota Lynx,87,91
2025-08-07,Golden State Valkyries,Las Vegas Aces,72,78
2025-08-08,Chicago Sky,Atlanta Dream,65,86
2025-08-08,Los Angeles Sparks,Connecticut Sun,102,91
2025-08-08,Phoenix Mercury,Indiana Fever,95,60
2025-08-08,Dallas Wings,New York Liberty,77,88
2025-08-08,Minnesota Lynx,Washington Mystics,80,76
2025-08-09,Las Vegas Aces,Seattle Storm,90,86
2025-08-10,Indiana Fever,Chicago Sky,92,70
2025-08-10,Golden State Valkyries,Los Angeles Sparks,72,59
2025-08-10,New York Liberty,Minnesota Lynx,71,83
2025-08-10,Dallas Wings,Washington Mystics,78,91
2025-08-10,Phoenix Mercury,Atlanta Dream,66,74
2025-08-11,Los Angeles Sparks,Seattle Storm,94,91
2025-08-11,Las Vegas Aces,Connecticut Sun,94,86
2025-08-12,Golden State Valkyries,Connecticut Sun,74,57
2025-08-12,Indiana Fever,Dallas Wings,80,81
2025-08-13,Los Angeles Sparks,New York Liberty,97,105
2025-08-13,Connecticut Sun,Chicago Sky,71,62
2025-08-13,Washington Mystics,Golden State Valkyries,83,88
2025-08-14,Las Vegas Aces,New York Liberty,83,77
2025-08-14,Seattle Storm,Atlanta Dream,75,85
2025-08-15,Indiana Fever,Washington Mystics,84,88
2025-08-15,Chicago Sky,Golden State Valkyries,59,90
2025-08-15,Dallas Wings,Los Angeles Sparks,96,97
2025-08-16,Atlanta Dream,Seattle Storm,78,80
2025-08-16,Phoenix Mercury,Las Vegas Aces,83,86
2025-08-16,Minnesota Lynx,New York Liberty,86,80
2025-08-17,Connecticut Sun,Indiana Fever,93,99
2025-08-17,Washington Mystics,Los Angeles Sparks,95,86
2025-08-17,Las Vegas Aces,Dallas Wings,106,87
2025-08-17,Seattle Storm,Phoenix Mercury,82,85
2025-08-18,Golden State Valkyries,Atlanta Dream,63,79
2025-08-19,New York Liberty,Minnesota Lynx,85,75
2025-08-19,Washington Mystics,Connecticut Sun,69,80
2025-08-20,Chicago Sky,Seattle Storm,88,94
2025-08-20,Las Vegas Aces,Atlanta Dream,74,72
2025-08-20,Golden State Valkyries,Phoenix Mercury,91,98
2025-08-21,Los Angeles Sparks,Dallas Wings,81,80
2025-08-21,Connecticut Sun,Washington Mystics,67,56
2025-08-21,New York Liberty,Chicago Sky,85,91
2025-08-21,Atlanta Dream,Minnesota Lynx,75,73
2025-08-22,Las Vegas Aces,Phoenix Mercury,83,61
2025-08-22,Indiana Fever,Minnesota Lynx,90,95
2025-08-22,Dallas Wings,Seattle Storm,60,95
2025-08-23,Phoenix Mercury,Golden State Valkyries,81,72
2025-08-23,Atlanta Dream,New York Liberty,78,62
2025-08-23,Washington Mystics,Las Vegas Aces,81,91
2025-08-23,Chicago Sky,Connecticut Sun,84,94
2025-08-24,Washington Mystics,Seattle Storm,82,84
2025-08-24,Dallas Wings,Golden State Valkyries,81,90
2025-08-24,Minnesota Lynx,Indiana Fever,97,84
2025-08-25,New York Liberty,Connecticut Sun,81,79
2025-08-26,Chicago Sky,Las Vegas Aces,74,79
2025-08-26,Indiana Fever,Seattle Storm,95,75
2025-08-27,Los Angeles Sparks,Phoenix Mercury,84,92
2025-08-27,Atlanta Dream,Las Vegas Aces,75,81
2025-08-28,Dallas Wings,Connecticut Sun,95,101
2025-08-28,New York Liberty,Washington Mystics,89,63
2025-08-29,Minnesota Lynx,Seattle Storm,79,93
2025-08-29,Phoenix Mercury,Chicago Sky,83,79
2025-08-29,Atlanta Dream,Dallas Wings,100,78
2025-08-30,Los Angeles Sparks,Indiana Fever,75,76
2025-08-30,Connecticut Sun,Minnesota Lynx,70,94
2025-08-31,Golden State Valkyries,Washington Mystics,99,62
2025-08-31,Seattle Storm,Chicago Sky,79,69
2025-08-31,Phoenix Mercury,New York Liberty,80,63
2025-09-01,Los Angeles Sparks,Washington Mystics,81,78
2025-09-01,Golden State Valkyries,Indiana Fever,75,63
2025-09-01,Connecticut Sun,Atlanta Dream,76,93
