date,home,away,home_score,away_score
2025-07-20,Geelong Cats,St Kilda,113,82
2025-07-20,Collingwood,Fremantle,78,79
2025-07-20,Adelaide Crows,Gold Coast SUNS,107,46
2025-07-24,Hawthorn,Carlton,85,61
2025-07-25,Essendon,Western Bulldogs,50,143
2025-07-25,GWS GIANTS,Sydney Swans,102,58
2025-07-26,Gold Coast SUNS,Brisbane Lions,130,64
2025-07-26,Fremantle,West Coast Eagles,126,77
2025-07-26,North Melbourne,Geelong Cats,49,150
2025-07-26,Adelaide Crows,Port Adelaide,133,35
2025-07-27,Richmond,Collingwood,57,93
2025-07-27,St Kilda,Melbourne,96,90
2025-07-31,Western Bulldogs,GWS GIANTS,132,44
2025-08-01,Adelaide Crows,Hawthorn,101,87
2025-08-02,Melbourne,West Coast Eagles,139,56
2025-08-02,Gold Coast SUNS,Richmond,107,23
2025-08-02,Sydney Swans,Essendon,68,54
2025-08-02,Collingwood,Brisbane Lions,65,92
2025-08-03,St Kilda,North Melbourne,78,69
2025-08-03,Geelong Cats,Port Adelaide,153,65
2025-08-03,Fremantle,Carlton,94,67
2025-08-07,Hawthorn,Collingwood,110,46
2025-08-08,Geelong Cats,Essendon,109,65
2025-08-09,Richmond,St Kilda,52,56
2025-08-09,Brisbane Lions,Sydney Swans,90,92
2025-08-09,Carlton,Gold Coast SUNS,74,93
2025-08-09,Port Adelaide,Fremantle,86,92
2025-08-10,GWS GIANTS,North Melbourne,133,79
2025-08-10,Melbourne,Western Bulldogs,99,105
2025-08-10,West Coast Eagles,Adelaide Crows,78,87
2025-08-15,Essendon,St Kilda,75,77
2025-08-15,Fremantle,Brisbane Lions,44,101
2025-08-16,Gold Coast SUNS,GWS GIANTS,76,111
2025-08-16,Carlton,Port Adelaide,118,64
2025-08-16,Hawthorn,Melbourne,92,56
2025-08-16,Adelaide Crows,Collingwood,59,56
2025-08-17,North Melbourne,Richmond,135,87
2025-08-17,Sydney Swans,Geelong Cats,68,111
2025-08-17,Western Bulldogs,West Coast Eagles,126,32
2025-08-21,Essendon,Carlton,56,90
2025-08-22,Collingwood,Melbourne,82,76
2025-08-22,Port Adelaide,Gold Coast SUNS,71,67
2025-08-23,North Melbourne,Adelaide Crows,100,113
2025-08-23,Richmond,Geelong Cats,64,103
2025-08-23,West Coast Eagles,Sydney Swans,51,118
2025-08-24,GWS GIANTS,St Kilda,104,93
2025-08-24,Western Bulldogs,Fremantle,97,112
2025-08-24,Brisbane Lions,Hawthorn,89,79
2025-08-27,Gold Coast SUNS,Essendon,153,58
2025-09-04,Adelaide Crows,Collingwood,55,79
2025-09-05,Geelong Cats,Brisbane Lions,112,74
2025-09-06,GWS GIANTS,Hawthorn,88,107
2025-09-06,Fremantle,Gold Coast SUNS,79,80
2025-09-12,Adelaide Crows,Hawthorn,67,101
2025-09-13,Brisbane Lions,Gold Coast SUNS,100,47
2025-09-19,Geelong Cats,Hawthorn,115,85
2025-09-20,Collingwood,Brisbane Lions,71,100
2025-09-27,Geelong Cats,Brisbane Lions,75,122
2026-02-25,Carlton,Geelong Cats,86,71
2026-02-26,Sydney Swans,GWS GIANTS,97,59
2026-02-26,Brisbane Lions,Gold Coast SUNS,126,101
2026-02-27,Melbourne,Richmond,78,43
2026-02-27,Western Bulldogs,Hawthorn,117,73
2026-02-28,St Kilda,Essendon,115,72
2026-02-28,Fremantle,Adelaide Crows,84,68
2026-03-01,North Melbourne,Collingwood,90,89
2026-03-01,West Coast Eagles,Port Adelaide,67,140
2026-03-05,Sydney Swans,Carlton,132,69
2026-03-06,Gold Coast SUNS,Geelong Cats,125,69
2026-03-07,GWS GIANTS,Hawthorn,122,95
2026-03-07,Brisbane Lions,Western Bulldogs,106,111
2026-03-08,St Kilda,Collingwood,66,78
2026-03-12,Carlton,Richmond,75,71
2026-03-13,Essendon,Hawthorn,83,145
2026-03-14,Western Bulldogs,GWS GIANTS,134,53
2026-03-14,Geelong Cats,Fremantle,110,100
2026-03-14,Sydney Swans,Brisbane Lions,104,60
2026-03-14,Collingwood,Adelaide Crows,79,93
2026-03-15,North Melbourne,Port Adelaide,113,67
2026-03-15,Melbourne,St Kilda,120,107
2026-03-15,Gold Coast SUNS,West Coast Eagles,131,72
2026-03-19,Hawthorn,Sydney Swans,99,82
2026-03-20,Adelaide Crows,Western Bulldogs,88,94
2026-03-21,Richmond,Gold Coast SUNS,60,128
2026-03-21,GWS GIANTS,St Kilda,74,78
2026-03-21,Fremantle,Melbourne,118,70
2026-03-22,Port Adelaide,Essendon,133,70
2026-03-22,West Coast Eagles,North Melbourne,111,94
2026-03-26,Geelong Cats,Adelaide Crows,68,60
2026-03-27,Collingwood,GWS GIANTS,87,54
2026-03-28,St Kilda,Brisbane Lions,80,113
2026-03-28,Fremantle,Richmond,103,43
2026-03-28,Essendon,North Melbourne,69,81
2026-03-29,Port Adelaide,West Coast Eagles,90,92
2026-03-29,Carlton,Melbourne,77,100
2026-04-02,Brisbane Lions,Collingwood,119,65
2026-04-03,North Melbourne,Carlton,96,86
2026-04-03,Adelaide Crows,Fremantle,76,78
2026-04-04,Richmond,Port Adelaide,48,90
2026-04-04,West Coast Eagles,Sydney Swans,35,163
2026-04-05,Melbourne,Gold Coast SUNS,109,89
2026-04-05,Western Bulldogs,Essendon,99,65
2026-04-06,Hawthorn,Geelong Cats,92,91
2026-04-09,Adelaide Crows,Carlton,114,86
2026-04-10,Collingwood,Fremantle,39,45
2026-04-11,North Melbourne,Brisbane Lions,66,92
2026-04-11,Essendon,Melbourne,113,68
2026-04-11,Sydney Swans,Gold Coast SUNS,100,68
2026-04-11,Hawthorn,Western Bulldogs,104,64
2026-04-12,Geelong Cats,West Coast Eagles,122,76
2026-04-12,GWS GIANTS,Richmond,131,75
2026-04-12,Port Adelaide,St Kilda,67,81
2026-04-16,Carlton,Collingwood,83,88
2026-04-17,Geelong Cats,Western Bulldogs,131,56
2026-04-17,Sydney Swans,GWS GIANTS,107,66
2026-04-18,Gold Coast SUNS,Essendon,119,110
2026-04-18,Hawthorn,Port Adelaide,89,86
2026-04-18,Adelaide Crows,St Kilda,103,102
2026-04-19,North Melbourne,Richmond,130,55
2026-04-19,Melbourne,Brisbane Lions,104,102
2026-04-19,West Coast Eagles,Fremantle,41,97
2026-04-23,Western Bulldogs,Sydney Swans,60,126
2026-04-24,Richmond,Melbourne,72,126
2026-04-25,Hawthorn,Gold Coast SUNS,112,63
2026-04-25,Essendon,Collingwood,60,137
2026-04-25,Port Adelaide,Geelong Cats,95,65
2026-04-25,Fremantle,Carlton,103,89
2026-04-26,St Kilda,West Coast Eagles,143,42
2026-04-26,Brisbane Lions,Adelaide Crows,127,75
2026-04-26,GWS GIANTS,North Melbourne,105,98
2026-04-30,Collingwood,Hawthorn,93,93
2026-05-01,Western Bulldogs,Fremantle,102,114
2026-05-01,Adelaide Crows,Port Adelaide,76,75
2026-05-02,Essendon,Brisbane Lions,79,143
2026-05-02,West Coast Eagles,Richmond,88,99
2026-05-02,Geelong Cats,North Melbourne,135,86
2026-05-02,Carlton,St Kilda,69,108
2026-05-03,Sydney Swans,Melbourne,131,114
2026-05-03,Gold Coast SUNS,GWS GIANTS,83,63
2026-05-07,Fremantle,Hawthorn,88,73
2026-05-08,Brisbane Lions,Carlton,100,89
2026-05-08,Port Adelaide,Western Bulldogs,72,74
2026-05-09,North Melbourne,Sydney Swans,97,105
2026-05-09,GWS GIANTS,Essendon,103,89
2026-05-09,Gold Coast SUNS,St Kilda,89,60
2026-05-09,Geelong Cats,Collingwood,122,68
2026-05-10,Melbourne,West Coast Eagles,99,67
2026-05-10,Richmond,Adelaide Crows,61,98
2026-05-14,Brisbane Lions,Geelong Cats,76,117
2026-05-15,Sydney Swans,Collingwood,81,75
