date,home,away,home_score,away_score
2025-08-22,Panthers,Raiders,16,20
2025-08-22,Storm,Bulldogs,20,14
2025-08-23,Sea Eagles,Dolphins,58,30
2025-08-23,Titans,Warriors,18,32
2025-08-23,Eels,Roosters,30,10
2025-08-24,Knights,Broncos,12,46
2025-08-24,Wests Tigers,Cowboys,28,34
2025-08-28,Bulldogs,Panthers,28,4
2025-08-29,Warriors,Eels,22,26
2025-08-29,Storm,Roosters,10,40
2025-08-30,Raiders,Wests Tigers,24,10
2025-08-30,Dragons,Sea Eagles,24,40
2025-08-30,Cowboys,Broncos,30,38
2025-08-31,Sharks,Knights,40,16
2025-08-31,Dolphins,Titans,36,30
2025-09-04,Broncos,Storm,30,14
2025-09-05,Sea Eagles,Warriors,27,26
2025-09-05,Roosters,Rabbitohs,36,6
2025-09-06,Dragons,Panthers,20,40
2025-09-06,Titans,Wests Tigers,36,28
2025-09-06,Bulldogs,Sharks,6,24
2025-09-07,Dolphins,Raiders,62,24
2025-09-07,Eels,Knights,66,10
2025-09-12,Storm,Bulldogs,26,18
2025-09-13,Warriors,Panthers,8,24
2025-09-13,Sharks,Roosters,20,10
2025-09-14,Raiders,Broncos,28,29
2025-09-20,Raiders,Sharks,12,32
2025-09-21,Bulldogs,Panthers,26,46
2025-09-26,Storm,Sharks,22,14
2025-09-28,Broncos,Panthers,16,14
2025-10-05,Storm,Broncos,22,26
2026-03-01,Knights,Cowboys,28,18
2026-03-01,Bulldogs,Dragons,15,14
2026-03-05,Storm,Eels,52,4
2026-03-06,Warriors,Roosters,42,18
2026-03-06,Broncos,Panthers,0,26
2026-03-07,Sharks,Titans,50,10
2026-03-07,Sea Eagles,Raiders,28,29
2026-03-08,Dolphins,Rabbitohs,30,40
2026-03-12,Broncos,Eels,32,40
2026-03-13,Warriors,Raiders,40,6
2026-03-13,Roosters,Rabbitohs,26,18
2026-03-14,Wests Tigers,Cowboys,44,16
2026-03-14,Dragons,Storm,20,46
2026-03-14,Panthers,Sharks,26,6
2026-03-15,Sea Eagles,Knights,16,36
2026-03-15,Dolphins,Titans,18,14
2026-03-19,Raiders,Bulldogs,10,14
2026-03-20,Roosters,Panthers,4,40
2026-03-20,Storm,Broncos,14,18
2026-03-21,Knights,Warriors,12,38
2026-03-21,Sharks,Dolphins,10,38
2026-03-21,Rabbitohs,Wests Tigers,20,16
2026-03-22,Eels,Dragons,30,20
2026-03-22,Cowboys,Titans,30,16
2026-03-26,Sea Eagles,Roosters,16,33
2026-03-27,Warriors,Wests Tigers,14,32
2026-03-27,Broncos,Dolphins,26,12
