date,winner,loser
2024-08-13,Jose Miguel Delgado,Ernie Juarez
2024-08-13,Bruno Lopes,Mikheil Sazhiniani
2024-08-13,Rami Hamed,Ding Meng
2024-08-13,Mansur Abdul-Malik,Wes Schultz
2024-08-17,Jesus Aguilar,Stewart Nicoll
2024-08-17,Song Kenan,Ricky Glenn
2024-08-17,Tom Nolan,Alex Reyes
2024-08-17,Jack Jenkins,Herbert Burns
2024-08-17,Casey O'Neill,Luana Santos
2024-08-17,Ricardo Ramos,Josh Culibao
2024-08-17,Valter Walker,Junior Tafa
2024-08-17,Carlos Prates,Li Jingliang
2024-08-17,Jairzinho Rozenstruik,Tai Tuivasa
2024-08-17,Dan Hooker,Mateusz Gamrot
2024-08-17,Kai Kara-France,Steve Erceg
2024-08-17,Dricus Du Plessis,Israel Adesanya
2024-08-20,Cody Haddon,Billy Brand
2024-08-20,Torrez Finney,Cam Rowston
2024-08-20,Cortavious Romious,Michael Imperato
2024-08-20,Rizvan Kuniev,Hugo Cunha
2024-08-20,Andreas Gustafsson,Pat Pytlik
2024-08-24,Wang Cong,Victoria Leonardo
2024-08-24,Jacqueline Cavalcanti,Josiane Nunes
2024-08-24,Viacheslav Borshchev,James Llontop
2024-08-24,Zachary Reese,Jose Daniel Medina
2024-08-24,Francis Marshall,Dennis Buzukja
2024-08-24,Gerald Meerschaert,Edmen Shahbazyan
2024-08-24,Michael Morales,Neil Magny
2024-08-24,Mairon Santos,Kaan Ofli
2024-08-24,Ryan Loder,Robert Valentin
2024-08-24,Tabatha Ricci,Angela Hill
2024-08-24,Caio Borralho,Jared Cannonier
2024-08-28,Nick Piccininni,Jack Duffy
2024-08-28,Malcolm Wellmaker,Adam Bramhald
2024-08-28,Marco Tulio,Matthieu Duclos
2024-08-28,Bogdan Grad,Michael Aswell
2024-08-28,Andrey Pulyaev,Liam Anderson
2024-09-04,Quillan Salkilld,Gauge Young
2024-09-04,Yuneisy Duben,Shannon Clark
2024-09-04,Austin Bashi,Dorian Ramos
2024-09-04,Djorden Santos,Will Currie
2024-09-04,Seokhyeon Ko,Igor Cavalcanti
2024-09-07,Nathan Fletcher,Zygimantas Ramaska
2024-09-07,Andre Petroski,Dylan Budka
2024-09-07,Jaqueline Amorim,Vanessa Demopoulos
2024-09-07,Gabriel Santos,Yizha
2024-09-07,Andre Lima,Felipe dos Santos
2024-09-07,Isaac Dulgarian,Brendon Marotte
2024-09-07,Chris Padilla,Rongzhu
2024-09-07,Yanal Ashmouz,Trevor Peek
2024-09-07,Cody Durden,Matt Schnell
2024-09-07,Steve Garcia,Kyle Nelson
2024-09-07,Natalia Silva,Jessica Andrade
2024-09-07,Sean Brady,Gilbert Burns
2024-09-11,Nicolle Caliari,Corinne Laframboise
2024-09-11,Josias Musasa,Otari Tanzilovi
2024-09-11,Yousri Belgaroui,Taiga Iwasaki
2024-09-11,Navajo Stirling,Phil Latu
2024-09-14,Raul Rosas Jr.,Aoriqileng
2024-09-14,Joshua Van,Édgar Cháirez
2024-09-14,Ketlen Souza,Yazmin Jauregui
2024-09-14,Ignacio Bahamondes,Manuel Torres
2024-09-14,Norma Dumont,Irene Aldana
2024-09-14,Ronaldo Rodríguez,Ode' Osbourne
2024-09-14,Esteban Ribovics,Daniel Zellhuber
2024-09-14,Diego Lopes,Brian Ortega
2024-09-14,Valentina Shevchenko,Alexa Grasso
2024-09-14,Merab Dvalishvili,Sean O'Malley
2024-09-18,Ahmad Hassanzada,Dylan Mantello
2024-09-18,Ateba Gautier,Yura Naito
2024-09-18,Benjamin Bennett,Joey Hart
2024-09-18,Tallison Teixeira,Arthur Lopes
2024-09-18,Elijah Smith,Aaron Tau
2024-09-25,Alexia Thainara,Rose Conceição
2024-09-25,Kevin Vallejos,Cam Teague
2024-09-25,Kevin Christian,Francesco Mazzeo
2024-09-25,Daniel Frunza,Vadym Kutsyi
2024-09-25,Danylo Voievodkin,Bailey Schoenfelder
2024-09-28,Chris Duncan,Bolaji Oki
2024-09-28,Jacqueline Cavalcanti,Nora Cornolle
2024-09-28,Daniel Barez,Victor Altamirano
2024-09-28,Ailin Perez,Daria Zhelezniakova
2024-09-28,Taylor Lapilus,Vince Morales
2024-09-28,Ludovit Klein,Roosevelt Roberts
2024-09-28,Oumar Sy,Da Woon Jung
2024-09-28,Ion Cutelaba,Ivan Erslan
2024-09-28,Farés Ziam,Matt Frevola
2024-09-28,Morgan Charrière,Gabriel Miranda
2024-09-28,Bryan Battle,Kevin Jousset
2024-09-28,William Gomis,Joanderson Brito
2024-09-28,Nassourdine Imavov,Brendan Allen
2024-09-28,Renato Moicano,Benoît Saint Denis
2024-10-02,Jacobe Smith,Christien Savoie
2024-10-02,Torrez Finney,Abdellah Er-Ramy
2024-10-02,David Martinez,Xavier Franklin
2024-10-02,Alberto Montes,Carlos Calderon
2024-10-02,Diyar Nurgozhay,Bartosz Szewczyk
2024-10-05,Court McGee,Tim Means
2024-10-05,Tecia Pennington,Carla Esparza
2024-10-05,Ryan Spann,Ovince Saint Preux
2024-10-05,Cesar Almeida,Ihor Potieria
2024-10-05,Alexander Hernandez,Austin Hubbard
2024-10-05,Iasmin Lucindo,Marina Rodriguez
2024-10-05,Joaquin Buckley,Stephen Thompson
2024-10-05,Kayla Harrison,Ketlen Vieira
2024-10-05,Roman Dolidze,Kevin Holland
2024-10-05,Mario Bautista,José Aldo
2024-10-05,Julianna Peña,Raquel Pennington
2024-10-05,Alex Pereira,Khalil Rountree Jr.
2024-10-09,Sean Gauci,Anthony Drilich
2024-10-09,Islam Dulatov,Vanilto Antunes
2024-10-09,Mario Pinto,Lucas Camacho
2024-10-09,Kody Steele,Chasen Blair
2024-10-09,Artem Vakhitov,Islem Masraf
2024-10-12,Clayton Carpenter,Lucas Rocha
2024-10-12,Cody Haddon,Dan Argueta
2024-10-12,Julia Polastri,Cory McKenna
2024-10-12,Junior Tafa,Sean Sharaf
2024-10-12,Themba Gorimbo,Niko Price
2024-10-12,Pat Sabatini,Jonathan Pearce
2024-10-12,Ramazan Temirov,CJ Vergara
2024-10-12,Daniel Rodriguez,Alex Morono
2024-10-12,Grant Dawson,Rafa Garcia
2024-10-12,Chidi Njokuani,Jared Gooden
2024-10-12,JunYong Park,Brad Tavares
2024-10-12,Brandon Royval,Tatsuro Taira
2024-10-16,Jonathan Micallef,Mohamed Ado
2024-10-16,Julieta Martinez,Leslie Hernandez
2024-10-16,Yadier del Valle,Antonio Monteiro
2024-10-16,Luis Gurule,Nick Piccininni
2024-10-16,Nick Klein,Heraldo Souza
2024-10-19,Austen Lane,Robelis Despaigne
2024-10-19,Melissa Martinez,Alice Ardelean
2024-10-19,Elise Reed,Jessica Penne
2024-10-19,Joselyne Edwards,Tamires Vidal
2024-10-19,Jean Matsumoto,Brad Katona
2024-10-19,Asu Almabayev,Matheus Nicolau
2024-10-19,Darren Elkins,Daniel Pineda
2024-10-19,Cameron Smotherman,Jake Hadley
2024-10-19,Charles Johnson,Sumudaerji
2024-10-19,Rob Font,Kyler Phillips
2024-10-19,Anthony Hernandez,Michel Pereira
2024-10-26,Rinat Fakhretdinov,Carlos Leal
2024-10-26,Ismail Naurdiev,Bruno Silva
2024-10-26,Farid Basharat,Victor Hugo
2024-10-26,Kennedy Nzechukwu,Chris Barnett
2024-10-26,Abus Magomedov,Brunno Ferreira
2024-10-26,Mateusz Rębecki,Myktybek Orolbai
2024-10-26,Geoff Neal,Rafael Dos Anjos
2024-10-26,Ibo Aslan,Rafael Cerqueira
2024-10-26,Shara Magomedov,Armen Petrosyan
2024-10-26,Lerone Murphy,Dan Ige
2024-10-26,Magomed Ankalaev,Aleksandar Rakic
2024-10-26,Khamzat Chimaev,Robert Whittaker
2024-10-26,Ilia Topuria,Max Holloway
2024-11-02,Jamey-Lyn Horth,Ivana Petrovic
2024-11-02,Cody Gibson,Chad Anheliger
2024-11-02,Serhiy Sidey,Garrett Armfield
2024-11-02,Alexandr Romanov,Rodrigo Nascimento
2024-11-02,Youssef Zalal,Jack Shore
2024-11-02,Charles Jourdain,Victor Henry
2024-11-02,Aiemann Zahabi,Pedro Munhoz
2024-11-02,Mike Malott,Trevin Giles
2024-11-02,Dustin Stoltzfus,Marc-Andre Barriault
2024-11-02,Jasmine Jasudavicius,Ariane Lipski da Silva
2024-11-02,Brendson Ribeiro,Caio Machado
2024-11-02,Erin Blanchfield,Rose Namajunas
2024-11-02,Brandon Moreno,Amir Albazi
2024-11-09,Melissa Mullins,Klaudia Syguła
2024-11-09,Tresean Gore,Antonio Trocoli
2024-11-09,Da'Mon Blackshear,Cody Stamann
2024-11-09,Charles Radtke,Matthew Semelsberger
2024-11-09,Elizeu Zaleski dos Santos,Zach Scroggin
2024-11-09,Denise Gomes,Karolina Kowalkiewicz
2024-11-09,Mansur Abdul-Malik,Duško Todorović
2024-11-09,Gillian Robertson,Luana Pinheiro
2024-11-09,Gaston Bolaños,Cortavious Romious
2024-11-09,Reinier de Ridder,Gerald Meerschaert
2024-11-09,Carlos Prates,Neil Magny
2024-11-16,Eduarda Moura,Veronica Hardy
2024-11-16,Oban Elliott,Bassil Hafez
2024-11-16,Ramiz Brahimaj,Mickey Gall
2024-11-16,Marcin Tybura,Jhonata Diniz
2024-11-16,David Onama,Roberto Romero
2024-11-16,Jim Miller,Damon Jackson
2024-11-16,Marcus McGhee,Jonathan Martinez
2024-11-16,Mauricio Ruffy,James Llontop
2024-11-16,Viviane Araújo,Karine Silva
2024-11-16,Bo Nickal,Paul Craig
2024-11-16,Charles Oliveira,Michael Chandler
2024-11-16,Jon Jones,Stipe Miocic
2024-11-23,Nikolas Motta,Maheshate
2024-11-23,Xiao Long,Quang Le
2024-11-23,Lone'er Kavanagh,Jose Ochoa
2024-11-23,Carlos Hernandez,Nyamjargal Tumendemberel
2024-11-23,Shi Ming,Feng Xiaocan
2024-11-23,DongHun Choi,Kiru Sahota
2024-11-23,SuYoung You,Baergeng Jieleyisi
2024-11-23,Zhang Mingyang,Ozzy Diaz
2024-11-23,Carlos Ulberg,Volkan Oezdemir
2024-11-23,Gabriella Fernandes,Wang Cong
2024-11-23,Muslim Salikhov,Song Kenan
2024-11-23,Yan Xiaonan,Tabatha Ricci
2024-11-23,Petr Yan,Deiveson Figueiredo
2024-12-07,Kennedy Nzechukwu,Lukasz Brzeski
2024-12-07,Chase Hooper,Clay Guida
2024-12-07,Michael Chiesa,Max Griffin
2024-12-07,Joshua Van,Cody Durden
2024-12-07,Eryk Anders,Chris Weidman
2024-12-07,Bryan Battle,Randy Brown
2024-12-07,Movsar Evloev,Aljamain Sterling
2024-12-07,Vicente Luque,Themba Gorimbo
2024-12-07,Dominick Reyes,Anthony Smith
2024-12-07,Dooho Choi,Nate Landwehr
2024-12-07,Bryce Mitchell,Kron Gracie
2024-12-07,Ciryl Gane,Alexander Volkov
2024-12-07,Shavkat Rakhmonov,Ian Machado Garry
2024-12-07,Alexandre Pantoja,Kai Asakura
2024-12-15,Piera Rodriguez,Josefine Knutsson
2024-12-15,Davey Grant,Ramon Taveras
2024-12-15,Miranda Maverick,Jamey-Lyn Horth
2024-12-15,Felipe Lima,Miles Johns
2024-12-15,Sean Woodson,Fernando Padilla
2024-12-15,Joel Álvarez,Drakkar Klose
2024-12-15,Michael Johnson,Ottman Azaitar
2024-12-15,Navajo Stirling,Tuco Tokkos
2024-12-15,Daniel Marcos,Adrian Yanez
2024-12-15,Dustin Jacoby,Vitor Petrino
2024-12-15,Manel Kape,Bruno Silva
2024-12-15,Cub Swanson,Billy Quarantillo
2024-12-15,Joaquin Buckley,Colby Covington
2025-01-11,Nurullo Aliev,Joe Solecki
2025-01-11,Fatima Kline,Viktoriia Dudakova
2025-01-11,Bruno Lopes,Magomed Gadzhiyasulov
2025-01-11,Ernesta Kareckaite,Nicolle Caliari
2025-01-11,Jacobe Smith,Preston Parsons
2025-01-11,Thiago Moisés,Trey Ogden
2025-01-11,Marco Tulio,Ihor Potieria
2025-01-11,Felipe Bunes,Jose Johnson
2025-01-11,Punahele Soriano,Uroš Medić
2025-01-11,Christian Rodriguez,Austin Bashi
2025-01-11,Roman Kopylov,Chris Curtis
2025-01-11,Cesar Almeida,Abdul Razak Alhassan
2025-01-11,Santiago Ponzinibbio,Carlston Harris
2025-01-11,Mackenzie Dern,Amanda Ribas
2025-01-18,Tagir Ulanbekov,Clayton Carpenter
2025-01-18,Bernardo Sopaj,Ricky Turcios
2025-01-18,Muin Gafurov,Rinya Nakamura
2025-01-18,Ailin Perez,Karol Rosa
2025-01-18,Grant Dawson,Diego Ferreira
2025-01-18,Bogdan Guskov,Billy Elekana
2025-01-18,Azamat Bekoev,Zachary Reese
2025-01-18,Raoni Barcelos,Payton Talbott
2025-01-18,Reinier de Ridder,Kevin Holland
2025-01-18,Jailton Almeida,Serghei Spivac
2025-01-18,Jiří Procházka,Jamahal Hill
2025-01-18,Merab Dvalishvili,Umar Nurmagomedov
2025-01-18,Islam Makhachev,Renato Moicano
2025-02-01,Hamdy Abdelwahab,Jamal Pogues
2025-02-01,Bogdan Grad,Lucas Alexander
2025-02-01,Jasmine Jasudavicius,Mayra Bueno Silva
2025-02-01,Terrance McKinney,Damir Hadzovic
2025-02-01,Shamil Gaziev,Thomas Petersen
2025-02-01,Muhammad Naimov,Kaan Ofli
2025-02-01,Farés Ziam,Mike Davis
2025-02-01,Vinicius Oliveira,Said Nurmagomedov
2025-02-01,Sergei Pavlovich,Jairzinho Rozenstruik
2025-02-01,Michael Page,Shara Magomedov
2025-02-01,Nassourdine Imavov,Israel Adesanya
2025-02-08,Quillan Salkilld,Anshul Jubli
2025-02-08,Jonathan Micallef,Kevin Jousset
2025-02-08,Rongzhu,Kody Steele
2025-02-08,Aleksandre Topuria,Colby Thicknesse
2025-02-08,Wang Cong,Bruna Brasil
2025-02-08,Tom Nolan,Viacheslav Borshchev
2025-02-08,Gabriel Santos,Jack Jenkins
2025-02-08,Jake Matthews,Francisco Prado
2025-02-08,Tallison Teixeira,Justin Tafa
2025-02-08,Zhang Weili,Tatiana Suarez
2025-02-08,Dricus Du Plessis,Sean Strickland
2025-02-15,Jacqueline Cavalcanti,Julia Avila
2025-02-15,Valter Walker,Don'Tale Mayes
2025-02-15,Elijah Smith,Vince Morales
2025-02-15,Gabriel Bonfim,Khaos Williams
2025-02-15,Rafael Estevam,Jesus Aguilar
2025-02-15,Angela Hill,Ketlen Souza
2025-02-15,Jose Miguel Delgado,Connor Matthews
2025-02-15,Andre Petroski,Rodolfo Vieira
2025-02-15,Nazim Sadykhov,Ismael Bonfim
2025-02-15,Edmen Shahbazyan,Dylan Budka
2025-02-15,Youssef Zalal,Calvin Kattar
2025-02-15,Jared Cannonier,Gregory Rodrigues
2025-02-22,Modestas Bukauskas,Rafael Cerqueira
2025-02-22,Nursulton Ruziboev,Eric McConico
2025-02-22,Austin Vanderford,Nikolay Veretennikov
2025-02-22,Ricky Simon,Javid Basharat
2025-02-22,Mansur Abdul-Malik,Nick Klein
2025-02-22,Melquizael Costa,Andre Fili
2025-02-22,Ion Cutelaba,Ibo Aslan
2025-02-22,Alonzo Menifield,Julius Walker
2025-02-22,Jean Silva,Melsik Baghdasaryan
2025-02-22,Rob Font,Jean Matsumoto
2025-02-22,Anthony Hernandez,Brendan Allen
2025-02-22,Song Yadong,Henry Cejudo
2025-03-01,Ramazan Temirov,Charles Johnson
2025-03-01,JJ Aldrich,Andrea Lee
2025-03-01,Danny Silva,Lucas Almeida
2025-03-01,Chepe Mariscal,Ricardo Ramos
2025-03-01,Mario Pinto,Austen Lane
2025-03-01,Sam Patterson,Danny Barlow
2025-03-01,Hyder Amil,William Gomis
2025-03-01,Nasrat Haqparast,Esteban Ribovics
2025-03-01,Cody Brundage,Julian Marquez
2025-03-01,Manel Kape,Asu Almabayev
2025-03-08,Ozzy Diaz,Djorden Santos
2025-03-08,Mairon Santos,Francis Marshall
2025-03-08,Carlos Leal,Alex Morono
2025-03-08,Brunno Ferreira,Armen Petrosyan
2025-03-08,Joshua Van,Rei Tsuruya
2025-03-08,Mauricio Ruffy,King Green
2025-03-08,Amanda Lemos,Iasmin Lucindo
2025-03-08,Ignacio Bahamondes,Jalin Turner
2025-03-08,Justin Gaethje,Rafael Fiziev
2025-03-08,Magomed Ankalaev,Alex Pereira
2025-03-15,Carli Judice,Yuneisy Duben
2025-03-15,Priscila Cachoeira,Josiane Nunes
2025-03-15,Andre Lima,Daniel Barez
2025-03-15,Sam Hughes,Stephanie Luciano
2025-03-15,Carlos Vera,Josias Musasa
2025-03-15,SuYoung You,AJ Cunningham
2025-03-15,Waldo Cortes Acosta,Ryan Spann
2025-03-15,Kevin Vallejos,SeungWoo Choi
2025-03-15,Brendson Ribeiro,Diyar Nurgozhay
2025-03-15,Da'Mon Blackshear,Cody Gibson
2025-03-15,Alexander Hernandez,Kurt Holobaugh
2025-03-15,Chidi Njokuani,Elizeu Zaleski dos Santos
2025-03-15,Roman Dolidze,Marvin Vettori
2025-03-22,Kauê Fernandes,Guram Kutateladze
2025-03-22,Caolán Loughran,Nathan Fletcher
2025-03-22,Shauna Bannon,Puja Tomar
2025-03-22,Christian Leroy Duncan,Andrey Pulyaev
2025-03-22,Marcin Tybura,Mick Parkin
2025-03-22,Lone'er Kavanagh,Felipe dos Santos
2025-03-22,Chris Padilla,Jai Herbert
2025-03-22,Nathaniel Wood,Morgan Charrière
2025-03-22,Chris Duncan,Jordan Vucenic
2025-03-22,Alexia Thainara,Molly McCann
2025-03-22,Kevin Holland,Gunnar Nelson
2025-03-22,Carlos Ulberg,Jan Blachowicz
2025-03-22,Sean Brady,Leon Edwards
2025-03-29,MarQuel Mederos,Austin Hubbard
2025-03-29,Jamall Emmers,Gabriel Miranda
2025-03-29,Rafa Garcia,Vinc Pichel
2025-03-29,Loopy Godínez,Julia Polastri
2025-03-29,Melquizael Costa,Christian Rodriguez
2025-03-29,Ateba Gautier,Jose Daniel Medina
2025-03-29,Kevin Borjas,Ronaldo Rodríguez
2025-03-29,David Martinez,Saimon Oliveira
2025-03-29,Raul Rosas Jr.,Vince Morales
2025-03-29,Édgar Cháirez,CJ Vergara
2025-03-29,Manuel Torres,Drew Dober
2025-03-29,Brandon Moreno,Steve Erceg
2025-04-05,Talita Alencar,Vanessa Demopoulos
2025-04-05,Martin Buday,Uran Satybaldiev
2025-04-05,Victor Henry,Pedro Falcão
2025-04-05,Loma Lookboonmee,Istela Nunes
2025-04-05,Rhys McKee,Daniel Frunza
2025-04-05,Dione Barbosa,Diana Belbita
2025-04-05,Torrez Finney,Robert Valentin
2025-04-05,Ode' Osbourne,Luis Gurule
2025-04-05,Brad Tavares,Gerald Meerschaert
2025-04-05,ChangHo Lee,Cortavious Romious
2025-04-05,Pat Sabatini,Joanderson Brito
2025-04-05,Lerone Murphy,Josh Emmett
2025-04-12,Nora Cornolle,Hailey Cowan
2025-04-12,Marco Tulio,Tresean Gore
2025-04-12,Sumudaerji,Mitch Raposo
2025-04-12,Michal Oleksiejczuk,Sedriques Dumas
2025-04-12,Julian Erosa,Darren Elkins
2025-04-12,Chase Hooper,Jim Miller
2025-04-12,Virna Jandiroba,Yan Xiaonan
2025-04-12,Dan Ige,Sean Woodson
2025-04-12,Dominick Reyes,Nikita Krylov
2025-04-12,Jean Silva,Bryce Mitchell
2025-04-12,Yair Rodriguez,Patricio Pitbull
2025-04-12,Paddy Pimblett,Michael Chandler
2025-04-12,Alexander Volkanovski,Diego Lopes
2025-04-26,Joselyne Edwards,Chelsea Chandler
2025-04-26,Timmy Cuamba,Roberto Romero
2025-04-26,Jaqueline Amorim,Polyana Viana
2025-04-26,Malcolm Wellmaker,Cameron Saaiman
2025-04-26,Da'Mon Blackshear,Alatengheili
2025-04-26,Chris Gutierrez,John Castaneda
2025-04-26,Evan Elder,Gauge Young
2025-04-26,Matt Schnell,Jimmy Flick
2025-04-26,Ikram Aliskerov,Andre Muniz
2025-04-26,Randy Brown,Nicolas Dalby
2025-04-26,Abus Magomedov,Michel Pereira
2025-04-26,David Onama,Giga Chikadze
2025-04-26,Zhang Mingyang,Anthony Smith
2025-04-26,Ian Machado Garry,Carlos Prates
2025-05-03,Juliana Miller,Ivana Petrovic
2025-05-03,Thomas Petersen,Don'Tale Mayes
2025-05-03,Quang Le,Gaston Bolaños
2025-05-03,Gillian Robertson,Marina Rodriguez
2025-05-03,Azamat Bekoev,Ryan Loder
2025-05-03,Yana Santos,Miesha Tate
2025-05-03,Mason Jones,Jeremy Stephens
2025-05-03,Serhiy Sidey,Cameron Smotherman
2025-05-03,Montel Jackson,Daniel Marcos
2025-05-03,Daniel Rodriguez,Santiago Ponzinibbio
2025-05-03,Reinier de Ridder,Bo Nickal
2025-05-03,Cory Sandhagen,Deiveson Figueiredo
2025-05-10,Bekzat Almakhan,Brad Katona
2025-05-10,Daniel Santos,JeongYeong Lee
2025-05-10,Marc-Andre Barriault,Bruno Silva
2025-05-10,Navajo Stirling,Ivan Erslan
2025-05-10,Modestas Bukauskas,Ion Cutelaba
2025-05-10,Jasmine Jasudavicius,Jessica Andrade
2025-05-10,Mike Malott,Charles Radtke
2025-05-10,Benoît Saint Denis,Kyle Prepolec
2025-05-10,Natalia Silva,Alexa Grasso
2025-05-10,Aiemann Zahabi,José Aldo
2025-05-10,Valentina Shevchenko,Manon Fiorot
2025-05-10,Jack Della Maddalena,Belal Muhammad
2025-05-17,Tecia Pennington,Luana Pinheiro
2025-05-17,HyunSung Park,Carlos Hernandez
2025-05-17,Denise Gomes,Elise Reed
2025-05-17,Luana Santos,Tainara Lisboa
2025-05-17,Yadier del Valle,Connor Matthews
2025-05-17,Jared Gordon,Thiago Moisés
2025-05-17,Gabe Green,Matheus Camilo
2025-05-17,Melquizael Costa,Julian Erosa
2025-05-17,Nursulton Ruziboev,Dustin Stoltzfus
2025-05-17,Mairon Santos,Sodiq Yusuff
2025-05-17,Michael Morales,Gilbert Burns
2025-05-31,Alice Ardelean,Rayanne dos Santos
2025-05-31,Bolaji Oki,Michael Aswell
2025-05-31,Jordan Leavitt,Kurt Holobaugh
2025-05-31,Allan Nascimento,Jafel Filho
2025-05-31,Zachary Reese,Duško Todorović
2025-05-31,Ketlen Vieira,Macy Chiasson
2025-05-31,Dustin Jacoby,Bruno Lopes
2025-05-31,Ramiz Brahimaj,Billy Ray Goff
2025-05-31,Mateusz Gamrot,Ludovit Klein
2025-06-07,MarQuel Mederos,Mark Choinski
2025-06-07,Quillan Salkilld,Yanal Ashmouz
2025-06-07,JooSang Yoo,Jeka Saragih
2025-06-07,Wang Cong,Ariane Lipski da Silva
2025-06-07,Andreas Gustafsson,Khaos Williams
2025-06-07,Waldo Cortes Acosta,Serghei Spivac
2025-06-07,Azamat Murzakanov,Brendson Ribeiro
2025-06-07,Joshua Van,Bruno Silva
2025-06-07,Kevin Holland,Vicente Luque
2025-06-07,Mario Bautista,Patchy Mix
2025-06-07,Joe Pyfer,Kelvin Gastelum
2025-06-07,Kayla Harrison,Julianna Peña
2025-06-07,Merab Dvalishvili,Sean O'Malley
2025-06-14,Jamey-Lyn Horth,Vanessa Demopoulos
2025-06-14,Phil Rowe,Ange Loosa
2025-06-14,Ricky Simon,Cameron Smotherman
2025-06-14,Jose Ochoa,Cody Durden
2025-06-14,Malcolm Wellmaker,Kris Moutinho
2025-06-14,Michael Chiesa,Court McGee
2025-06-14,Alonzo Menifield,Oumar Sy
2025-06-14,Raoni Barcelos,Cody Garbrandt
2025-06-14,Edmen Shahbazyan,Andre Petroski
2025-06-14,Rose Namajunas,Miranda Maverick
2025-06-14,Kamaru Usman,Joaquin Buckley
2025-06-21,Mohammed Usman,Hamdy Abdelwahab
2025-06-21,Tagir Ulanbekov,Azat Maksum
2025-06-21,Klaudia Syguła,Irina Alekseeva
2025-06-21,Daria Zhelezniakova,Melissa Mullins
2025-06-21,JunYong Park,Ismail Naurdiev
2025-06-21,Seokhyeon Ko,Oban Elliott
2025-06-21,Muhammad Naimov,Bogdan Grad
2025-06-21,Nazim Sadykhov,Nikolas Motta
2025-06-21,Myktybek Orolbai,Tofiq Musayev
2025-06-21,Curtis Blaydes,Rizvan Kuniev
2025-06-21,Rafael Fiziev,Ignacio Bahamondes
2025-06-21,Khalil Rountree Jr.,Jamahal Hill
2025-06-28,Jhonata Diniz,Alvin Hines
2025-06-28,Jacobe Smith,Niko Price
2025-06-28,Terrance McKinney,Viacheslav Borshchev
2025-06-28,Tracy Cortez,Viviane Araújo
2025-06-28,Jose Miguel Delgado,Hyder Amil
2025-06-28,Gregory Rodrigues,Jack Hermansson
2025-06-28,Payton Talbott,Felipe Lima
2025-06-28,Beneil Dariush,Renato Moicano
2025-06-28,Joshua Van,Brandon Royval
2025-06-28,Alexandre Pantoja,Kai Kara-France
2025-06-28,Ilia Topuria,Charles Oliveira
2025-07-12,Fatima Kline,Melissa Martinez
2025-07-12,Mike Davis,Mitch Ramirez
2025-07-12,Valter Walker,Kennedy Nzechukwu
2025-07-12,Eduarda Moura,Lauren Murphy
2025-07-12,Jake Matthews,Chidi Njokuani
2025-07-12,Chris Curtis,Max Griffin
2025-07-12,Tuco Tokkos,Junior Tafa
2025-07-12,Vitor Petrino,Austen Lane
2025-07-12,Morgan Charrière,Nate Landwehr
2025-07-12,Steve Garcia,Calvin Kattar
2025-07-12,Gabriel Bonfim,Stephen Thompson
2025-07-12,Derrick Lewis,Tallison Teixeira
2025-07-19,Carli Judice,Nicolle Caliari
2025-07-19,Brunno Ferreira,Jackson McVey
2025-07-19,Ryan Spann,Lukasz Brzeski
2025-07-19,Jimmy Crute,Marcin Prachnio
2025-07-19,Islam Dulatov,Adam Fugitt
2025-07-19,Ateba Gautier,Robert Valentin
2025-07-19,Nikolay Veretennikov,Francisco Prado
2025-07-19,Brendan Allen,Marvin Vettori
2025-07-19,Vinicius Oliveira,Kyler Phillips
2025-07-19,Michael Johnson,Daniel Zellhuber
2025-07-19,Patricio Pitbull,Dan Ige
2025-07-19,Daniel Rodriguez,Kevin Holland
2025-07-19,Paulo Costa,Roman Kopylov
2025-07-19,Max Holloway,Dustin Poirier
2025-07-26,Martin Buday,Marcus Buchecha
2025-07-26,Steven Nguyen,Mohammad Yahya
2025-07-26,Billy Elekana,Ibo Aslan
2025-07-26,Tabatha Ricci,Amanda Ribas
2025-07-26,Davey Grant,Da'Mon Blackshear
2025-07-26,Muslim Salikhov,Carlos Leal
2025-07-26,Bryce Mitchell,Said Nurmagomedov
2025-07-26,Bogdan Guskov,Nikita Krylov
2025-07-26,Asu Almabayev,Jose Ochoa
2025-07-26,Shara Magomedov,Marc-Andre Barriault
2025-07-26,Petr Yan,Marcus McGhee
2025-07-26,Reinier de Ridder,Robert Whittaker
2025-08-02,Piera Rodriguez,Ketlen Souza
2025-08-02,Rafael Estevam,Felipe Bunes
2025-08-02,Austin Bashi,John Yannis
2025-08-02,Andrey Pulyaev,Nick Klein
2025-08-02,Rodolfo Vieira,Tresean Gore
2025-08-02,Rinya Nakamura,Nathan Fletcher
2025-08-02,Kevin Vallejos,Danny Silva
2025-08-02,Neil Magny,Elizeu Zaleski dos Santos
2025-08-02,Karol Rosa,Nora Cornolle
2025-08-02,Esteban Ribovics,Elves Brener
2025-08-02,Chris Duncan,Mateusz Rębecki
2025-08-02,Tatsuro Taira,HyunSung Park
2025-08-09,Eric McConico,Cody Brundage
2025-08-09,Gabriella Fernandes,Julija Stoliarenko
2025-08-09,Uroš Medić,Gilbert Urbina
2025-08-09,Joselyne Edwards,Priscila Cachoeira
2025-08-09,Elijah Smith,Toshiomi Kazama
2025-08-09,Julius Walker,Rafael Cerqueira
2025-08-09,Christian Leroy Duncan,Eryk Anders
2025-08-09,Jean Matsumoto,Miles Johns
2025-08-09,Andre Fili,Christian Rodriguez
